TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,-0.021891699190901,U,,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.021139603144418,U,,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.01313113537449,U,,1,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0027686022702722,U,,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0023211786608708,U,,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.00238893053585,U,,0,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.0023213488087966,U,,0,0.25,1,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0066373305893902,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.020437443847171,U,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.011635404385824,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
